institucion,tasa_de_interes_bruta_en_porcentaje_anual,rango_de_plazo_plazo_minimo,rango_de_plazo_plazo_maximo,tipo_de_instrumento,rango_de_inversion_monto_minimo,rango_de_inversion_monto_maximo,tipo_de_tasa,fecha_de_la_informacion
FAMSA,5.2500,364,364,PAGARÉ,50000,99999,Fija,11/05/2018
FAMSA,5.1500,182,182,PAGARÉ,100000,499999,Fija,11/05/2018
FAMSA,5.1500,273,273,PAGARÉ,50000,99999,Fija,11/05/2018
FAMSA,5.1500,364,364,PAGARÉ,5000,49999,Fija,11/05/2018
FAMSA,5.1000,91,91,PAGARÉ,500000,999999,Fija,11/05/2018
FAMSA,5.0500,28,28,PAGARÉ,1000000,9999999,Fija,11/05/2018
FAMSA,5.0000,273,273,PAGARÉ,5000,49999,Fija,11/05/2018
FAMSA,4.9500,182,182,PAGARÉ,50000,99999,Fija,11/05/2018
FAMSA,4.9000,91,91,PAGARÉ,100000,499999,Fija,11/05/2018
FAMSA,4.8500,28,28,PAGARÉ,500000,999999,Fija,11/05/2018
FAMSA,4.7500,182,182,PAGARÉ,5000,49999,Fija,11/05/2018
FAMSA,4.7000,91,91,PAGARÉ,50000,99999,Fija,11/05/2018
FAMSA,4.6500,28,28,PAGARÉ,100000,499999,Fija,11/05/2018
FAMSA,4.4500,91,91,PAGARÉ,5000,49999,Fija,11/05/2018
FAMSA,4.4000,28,28,PAGARÉ,50000,99999,Fija,11/05/2018
FAMSA,4.2000,28,28,PAGARÉ,5000,49999,Fija,11/05/2018
FAMSA,3.9500,21,21,PAGARÉ,10000000,99999999,Fija,11/05/2018
FAMSA,3.7000,14,14,PAGARÉ,10000000,99999999,Fija,11/05/2018
FAMSA,3.7000,21,21,PAGARÉ,1000000,9999999,Fija,11/05/2018
FAMSA,3.4500,1,1,PAGARÉ,10000000,99999999,Fija,11/05/2018
FAMSA,3.4500,7,7,PAGARÉ,10000000,99999999,Fija,11/05/2018
FAMSA,3.4500,14,14,PAGARÉ,1000000,9999999,Fija,11/05/2018
FAMSA,3.4000,21,21,PAGARÉ,500000,999999,Fija,11/05/2018
FAMSA,3.1500,1,1,PAGARÉ,1000000,9999999,Fija,11/05/2018
FAMSA,3.1500,7,7,PAGARÉ,1000000,9999999,Fija,11/05/2018
FAMSA,3.1500,14,14,PAGARÉ,500000,999999,Fija,11/05/2018
FAMSA,3.1500,21,21,PAGARÉ,100000,499999,Fija,11/05/2018
FAMSA,2.9000,7,7,PAGARÉ,500000,999999,Fija,11/05/2018
FAMSA,2.9000,14,14,PAGARÉ,100000,499999,Fija,11/05/2018
FAMSA,2.9000,21,21,PAGARÉ,50000,99999,Fija,11/05/2018
FAMSA,2.7000,1,1,PAGARÉ,500000,999999,Fija,11/05/2018
FAMSA,2.6500,7,7,PAGARÉ,100000,499999,Fija,11/05/2018
FAMSA,2.6500,14,14,PAGARÉ,50000,99999,Fija,11/05/2018
FAMSA,2.4000,1,1,PAGARÉ,100000,499999,Fija,11/05/2018
FAMSA,2.3500,7,7,PAGARÉ,50000,99999,Fija,11/05/2018
FAMSA,2.1000,1,1,PAGARÉ,50000,99999,Fija,11/05/2018
Finterra,7.9400,180,180,PAGARÉ,5000000,999999999,Fija,11/05/2018
Finterra,7.8900,120,120,PAGARÉ,5000000,999999999,Fija,11/05/2018
Finterra,7.8400,180,180,PAGARÉ,3000000,4999999,Fija,11/05/2018
Finterra,7.7900,120,120,PAGARÉ,3000000,4999999,Fija,11/05/2018
Finterra,7.7400,180,180,PAGARÉ,2000000,2999999,Fija,11/05/2018
Finterra,7.6900,120,120,PAGARÉ,2000000,2999999,Fija,11/05/2018
Finterra,7.6400,100,100,PAGARÉ,2000000,999999999,Fija,11/05/2018
Finterra,7.6400,360,360,PAGARÉ,2000000,999999999,Fija,11/05/2018
Finterra,7.5400,100,100,PAGARÉ,1000000,1999999,Fija,11/05/2018
Finterra,7.5400,360,360,PAGARÉ,1000000,1999999,Fija,11/05/2018
Finterra,7.5200,90,90,DEPOSITO A PLAZO,5000,99999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 2.9400,11/05/2018
Finterra,7.5200,90,90,DEPOSITO A PLAZO,100000,249999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 2.7500,11/05/2018
Finterra,7.5200,90,90,DEPOSITO A PLAZO,250000,499999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 0.6000,11/05/2018
Finterra,7.5200,90,90,DEPOSITO A PLAZO,500000,999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 0.5000,11/05/2018
Finterra,7.5200,90,90,DEPOSITO A PLAZO,1000000,1999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 0.4100,11/05/2018
Finterra,7.5200,90,90,DEPOSITO A PLAZO,2000000,99999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 0.3100,11/05/2018
Finterra,7.5200,168,168,DEPOSITO A PLAZO,5000,99999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 2.5400,11/05/2018
Finterra,7.5200,168,168,DEPOSITO A PLAZO,100000,249999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 2.3500,11/05/2018
Finterra,7.5200,168,168,DEPOSITO A PLAZO,250000,499999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 0.4800,11/05/2018
Finterra,7.5200,168,168,DEPOSITO A PLAZO,500000,999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 0.3900,11/05/2018
Finterra,7.5200,168,168,DEPOSITO A PLAZO,1000000,1999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 0.2900,11/05/2018
Finterra,7.5200,168,168,DEPOSITO A PLAZO,2000000,99999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 0.1900,11/05/2018
Finterra,7.5200,180,180,DEPOSITO A PLAZO,5000,99999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 2.6100,11/05/2018
Finterra,7.5200,180,180,DEPOSITO A PLAZO,100000,249999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 2.4200,11/05/2018
Finterra,7.5200,180,180,DEPOSITO A PLAZO,250000,499999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 0.5900,11/05/2018
Finterra,7.5200,180,180,DEPOSITO A PLAZO,500000,999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 0.4900,11/05/2018
Finterra,7.5200,180,180,DEPOSITO A PLAZO,1000000,1999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 0.4000,11/05/2018
Finterra,7.5200,180,180,DEPOSITO A PLAZO,2000000,99999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 0.3000,11/05/2018
Finterra,7.5200,364,364,DEPOSITO A PLAZO,5000,99999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 2.2200,11/05/2018
Finterra,7.5200,364,364,DEPOSITO A PLAZO,100000,249999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 2.0300,11/05/2018
Finterra,7.5200,364,364,DEPOSITO A PLAZO,250000,499999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 0.4100,11/05/2018
Finterra,7.5200,364,364,DEPOSITO A PLAZO,500000,999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 0.3200,11/05/2018
Finterra,7.5200,364,364,DEPOSITO A PLAZO,1000000,1999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 0.2200,11/05/2018
Finterra,7.5200,364,364,DEPOSITO A PLAZO,2000000,99999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 0.1300,11/05/2018
Finterra,7.4400,60,60,PAGARÉ,2000000,999999999,Fija,11/05/2018
Finterra,7.4400,100,100,PAGARÉ,500000,999999,Fija,11/05/2018
Finterra,7.4400,182,182,PAGARÉ,2000000,999999999,Fija,11/05/2018
Finterra,7.4400,360,360,PAGARÉ,500000,999999,Fija,11/05/2018
Finterra,7.3400,60,60,PAGARÉ,1000000,1999999,Fija,11/05/2018
Finterra,7.3400,91,91,PAGARÉ,2000000,999999999,Fija,11/05/2018
Finterra,7.3400,100,100,PAGARÉ,250000,499999,Fija,11/05/2018
Finterra,7.3400,182,182,PAGARÉ,1000000,1999999,Fija,11/05/2018
Finterra,7.3400,360,360,PAGARÉ,250000,499999,Fija,11/05/2018
Finterra,7.2400,60,60,PAGARÉ,500000,999999,Fija,11/05/2018
Finterra,7.2400,91,91,PAGARÉ,1000000,1999999,Fija,11/05/2018
Finterra,7.2400,182,182,PAGARÉ,500000,999999,Fija,11/05/2018
Finterra,7.1400,60,60,PAGARÉ,250000,499999,Fija,11/05/2018
Finterra,7.1400,91,91,PAGARÉ,500000,999999,Fija,11/05/2018
Finterra,7.1400,182,182,PAGARÉ,250000,499999,Fija,11/05/2018
Finterra,7.0400,91,91,PAGARÉ,250000,499999,Fija,11/05/2018
Finterra,6.9400,28,28,PAGARÉ,2000000,999999999,Fija,11/05/2018
Finterra,6.5400,14,14,PAGARÉ,2000000,999999999,Fija,11/05/2018
Finterra,6.5400,28,28,PAGARÉ,1000000,1999999,Fija,11/05/2018
Finterra,6.1400,7,7,PAGARÉ,2000000,999999999,Fija,11/05/2018
Finterra,6.1400,14,14,PAGARÉ,1000000,1999999,Fija,11/05/2018
Finterra,6.1400,28,28,PAGARÉ,500000,999999,Fija,11/05/2018
Finterra,5.7400,7,7,PAGARÉ,1000000,1999999,Fija,11/05/2018
Finterra,5.7400,14,14,PAGARÉ,500000,999999,Fija,11/05/2018
Finterra,5.7400,28,28,PAGARÉ,250000,499999,Fija,11/05/2018
Finterra,5.6300,100,100,PAGARÉ,100000,249999,Fija,11/05/2018
Finterra,5.6300,360,360,PAGARÉ,100000,249999,Fija,11/05/2018
Finterra,5.4300,100,100,PAGARÉ,5000,99999,Fija,11/05/2018
Finterra,5.4300,360,360,PAGARÉ,5000,99999,Fija,11/05/2018
Finterra,5.3400,7,7,PAGARÉ,500000,999999,Fija,11/05/2018
Finterra,5.3400,14,14,PAGARÉ,250000,499999,Fija,11/05/2018
Finterra,5.2300,60,60,PAGARÉ,100000,249999,Fija,11/05/2018
Finterra,5.2300,182,182,PAGARÉ,100000,249999,Fija,11/05/2018
Finterra,5.0300,60,60,PAGARÉ,5000,99999,Fija,11/05/2018
Finterra,5.0300,182,182,PAGARÉ,5000,99999,Fija,11/05/2018
Finterra,4.9400,7,7,PAGARÉ,250000,499999,Fija,11/05/2018
Finterra,4.9200,1,1,PAGARÉ,2000000,999999999,Fija,11/05/2018
Finterra,4.8300,91,91,PAGARÉ,100000,249999,Fija,11/05/2018
Finterra,4.6300,91,91,PAGARÉ,5000,99999,Fija,11/05/2018
Finterra,4.4300,28,28,PAGARÉ,100000,249999,Fija,11/05/2018
Finterra,4.2800,1,1,PAGARÉ,1000000,1999999,Fija,11/05/2018
Finterra,4.2300,28,28,PAGARÉ,5000,99999,Fija,11/05/2018
Finterra,4.0300,14,14,PAGARÉ,100000,249999,Fija,11/05/2018
Finterra,3.9500,1,1,PAGARÉ,500000,999999,Fija,11/05/2018
Finterra,3.8300,14,14,PAGARÉ,5000,99999,Fija,11/05/2018
Finterra,3.6300,1,1,PAGARÉ,250000,499999,Fija,11/05/2018
Finterra,3.6300,7,7,PAGARÉ,100000,249999,Fija,11/05/2018
Finterra,3.4300,7,7,PAGARÉ,5000,99999,Fija,11/05/2018
Finterra,3.3000,1,1,PAGARÉ,100000,249999,Fija,11/05/2018
Finterra,2.9800,1,1,PAGARÉ,5000,99999,Fija,11/05/2018
Forjadores,8.5000,360,360,PAGARÉ,500000,999999999,Fija,11/05/2018
Forjadores,8.4000,360,360,DEPOSITO A PLAZO,500000,999999999,Fija,11/05/2018
Forjadores,8.0000,280,280,PAGARÉ,500000,999999999,Fija,11/05/2018
Forjadores,8.0000,360,360,PAGARÉ,50000,499999,Fija,11/05/2018
Forjadores,7.9000,270,270,DEPOSITO A PLAZO,500000,999999999,Fija,11/05/2018
Forjadores,7.9000,360,360,DEPOSITO A PLAZO,50000,499999,Fija,11/05/2018
Forjadores,7.7500,182,182,PAGARÉ,500000,999999999,Fija,11/05/2018
Forjadores,7.6500,180,180,DEPOSITO A PLAZO,500000,999999999,Fija,11/05/2018
Forjadores,7.5000,280,280,PAGARÉ,50000,499999,Fija,11/05/2018
Forjadores,7.4000,270,270,DEPOSITO A PLAZO,50000,499999,Fija,11/05/2018
Forjadores,7.2500,182,182,PAGARÉ,50000,499999,Fija,11/05/2018
Forjadores,7.1500,180,180,DEPOSITO A PLAZO,50000,499999,Fija,11/05/2018
Forjadores,6.9500,91,91,PAGARÉ,500000,999999999,Fija,11/05/2018
Forjadores,6.8500,90,90,DEPOSITO A PLAZO,500000,999999999,Fija,11/05/2018
Forjadores,6.6500,56,56,PAGARÉ,500000,999999999,Fija,11/05/2018
Forjadores,6.5500,60,60,DEPOSITO A PLAZO,500000,999999999,Fija,11/05/2018
Forjadores,6.4500,91,91,PAGARÉ,50000,499999,Fija,11/05/2018
Forjadores,6.4000,28,28,PAGARÉ,500000,999999999,Fija,11/05/2018
Forjadores,6.3500,90,90,DEPOSITO A PLAZO,50000,499999,Fija,11/05/2018
Forjadores,6.1500,56,56,PAGARÉ,50000,499999,Fija,11/05/2018
Forjadores,6.0500,60,60,DEPOSITO A PLAZO,50000,499999,Fija,11/05/2018
Forjadores,5.9000,28,28,PAGARÉ,50000,499999,Fija,11/05/2018
HSBC,5.0944,721,721,DEPOSITO A PLAZO,1000000,999999999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6500,11/05/2018
HSBC,5.0160,560,560,DEPOSITO A PLAZO,1000000,999999999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6400,11/05/2018
HSBC,4.8880,721,721,DEPOSITO A PLAZO,1000000,999999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6500,11/05/2018
HSBC,4.8600,180,365,PAGARÉ,5000000,999999999,Fija,11/05/2018
HSBC,4.8593,371,371,DEPOSITO A PLAZO,1000000,999999999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6200,11/05/2018
HSBC,4.8200,180,365,PAGARÉ,1000000,1999999,Fija,11/05/2018
HSBC,4.8128,560,560,DEPOSITO A PLAZO,1000000,999999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6400,11/05/2018
HSBC,4.8128,721,721,DEPOSITO A PLAZO,500000,999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6400,11/05/2018
HSBC,4.8000,180,365,PAGARÉ,3000000,4999999,Fija,11/05/2018
HSBC,4.7376,560,560,DEPOSITO A PLAZO,500000,999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6300,11/05/2018
HSBC,4.7376,721,721,DEPOSITO A PLAZO,300000,499999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6300,11/05/2018
HSBC,4.7200,180,365,PAGARÉ,2000000,2999999,Fija,11/05/2018
HSBC,4.7025,91,91,DEPOSITO A PLAZO,10000,49999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,91,91,DEPOSITO A PLAZO,50000,99999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,91,91,DEPOSITO A PLAZO,100000,199999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,91,91,DEPOSITO A PLAZO,200000,299999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,91,91,DEPOSITO A PLAZO,300000,499999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,91,91,DEPOSITO A PLAZO,500000,999999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,91,91,DEPOSITO A PLAZO,1000000,999999999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,182,182,DEPOSITO A PLAZO,10000,49999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,182,182,DEPOSITO A PLAZO,50000,99999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,182,182,DEPOSITO A PLAZO,100000,199999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,182,182,DEPOSITO A PLAZO,200000,299999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,182,182,DEPOSITO A PLAZO,300000,499999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,182,182,DEPOSITO A PLAZO,500000,999999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,182,182,DEPOSITO A PLAZO,1000000,999999999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,371,371,DEPOSITO A PLAZO,10000,49999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,371,371,DEPOSITO A PLAZO,50000,99999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,371,371,DEPOSITO A PLAZO,100000,199999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,371,371,DEPOSITO A PLAZO,200000,299999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,371,371,DEPOSITO A PLAZO,300000,499999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,371,371,DEPOSITO A PLAZO,500000,999999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,560,560,DEPOSITO A PLAZO,10000,49999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,560,560,DEPOSITO A PLAZO,50000,99999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,560,560,DEPOSITO A PLAZO,100000,199999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,560,560,DEPOSITO A PLAZO,200000,299999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,560,560,DEPOSITO A PLAZO,300000,499999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,560,560,DEPOSITO A PLAZO,500000,999999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,721,721,DEPOSITO A PLAZO,10000,49999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,721,721,DEPOSITO A PLAZO,50000,99999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,721,721,DEPOSITO A PLAZO,100000,199999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,721,721,DEPOSITO A PLAZO,200000,299999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,721,721,DEPOSITO A PLAZO,300000,499999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.7025,721,721,DEPOSITO A PLAZO,500000,999999,Ajustable: TIIE 28 DIAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.6624,371,371,DEPOSITO A PLAZO,1000000,999999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6200,11/05/2018
HSBC,4.6624,560,560,DEPOSITO A PLAZO,300000,499999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6200,11/05/2018
HSBC,4.6300,90,179,PAGARÉ,5000000,999999999,Fija,11/05/2018
HSBC,4.5900,90,179,PAGARÉ,3000000,4999999,Fija,11/05/2018
HSBC,4.5872,721,721,DEPOSITO A PLAZO,200000,299999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6100,11/05/2018
HSBC,4.5120,91,91,DEPOSITO A PLAZO,10000,49999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,91,91,DEPOSITO A PLAZO,50000,99999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,91,91,DEPOSITO A PLAZO,100000,199999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,91,91,DEPOSITO A PLAZO,200000,299999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,91,91,DEPOSITO A PLAZO,300000,499999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,91,91,DEPOSITO A PLAZO,500000,999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,91,91,DEPOSITO A PLAZO,1000000,999999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,182,182,DEPOSITO A PLAZO,10000,49999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,182,182,DEPOSITO A PLAZO,50000,99999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,182,182,DEPOSITO A PLAZO,100000,199999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,182,182,DEPOSITO A PLAZO,200000,299999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,182,182,DEPOSITO A PLAZO,300000,499999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,182,182,DEPOSITO A PLAZO,500000,999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,182,182,DEPOSITO A PLAZO,1000000,999999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,371,371,DEPOSITO A PLAZO,10000,49999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,371,371,DEPOSITO A PLAZO,50000,99999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,371,371,DEPOSITO A PLAZO,100000,199999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,371,371,DEPOSITO A PLAZO,200000,299999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,371,371,DEPOSITO A PLAZO,300000,499999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,371,371,DEPOSITO A PLAZO,500000,999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,560,560,DEPOSITO A PLAZO,10000,49999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,560,560,DEPOSITO A PLAZO,50000,99999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,560,560,DEPOSITO A PLAZO,100000,199999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,560,560,DEPOSITO A PLAZO,200000,299999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,721,721,DEPOSITO A PLAZO,10000,49999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,721,721,DEPOSITO A PLAZO,50000,99999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.5120,721,721,DEPOSITO A PLAZO,100000,199999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) POR 0.6000,11/05/2018
HSBC,4.4600,90,179,PAGARÉ,2000000,2999999,Fija,11/05/2018
HSBC,4.3600,180,365,PAGARÉ,300000,499999,Fija,11/05/2018
HSBC,4.2600,180,365,PAGARÉ,500000,999999,Fija,11/05/2018
HSBC,4.1600,90,179,PAGARÉ,1000000,1999999,Fija,11/05/2018
